日付,問題ID,正誤,解答時間(秒),ミスの原因,学習投入時間(分)
2024-11-01,N-A01,〇,110,-,15
2024-11-01,N-A02,✕,120,時間不足,20
2024-11-01,N-B01,〇,55,-,10
2024-11-02,N-A03,〇,140,-,18
2024-11-02,N-A04,〇,85,-,12
2024-11-02,N-B02,✕,110,理解不足,25
2024-11-03,N-A05,✕,200,時間不足,30
2024-11-03,N-B03,〇,85,-,15
2024-11-03,N-C01,✕,75,知識不足,20
2024-11-04,N-A01,〇,105,-,12
2024-11-04,N-D01,✕,160,時間不足,28
2024-11-04,N-B04,〇,105,-,18
2024-11-05,N-A02,〇,95,-,10
2024-11-05,N-A06,✕,165,理解不足,22
2024-11-05,N-L-A01,〇,12,-,8
2024-11-06,N-B05,〇,85,-,14
2024-11-06,N-C02,✕,130,時間不足,25
2024-11-06,N-A03,〇,135,-,16
2024-11-07,N-A04,〇,80,-,10
2024-11-07,N-B06,✕,140,ケアレス,20
2024-11-07,N-D02,〇,130,-,18
2024-11-08,N-E01,〇,85,-,12
2024-11-08,N-A05,✕,190,時間不足,28
2024-11-08,N-L-B01,〇,28,-,10
2024-11-09,N-B01,〇,58,-,8
2024-11-09,N-A02,〇,100,-,12
2024-11-09,N-C01,〇,70,-,15
2024-11-10,N-D01,✕,155,時間不足,26
2024-11-10,N-A06,〇,155,-,14
2024-11-10,N-B02,〇,95,-,12
2024-11-11,N-A01,〇,108,-,10
2024-11-11,N-A03,〇,138,-,14
2024-11-11,N-L-C01,✕,500,時間不足,35
2024-11-12,N-B04,〇,108,-,16
2024-11-12,N-A04,〇,82,-,10
2024-11-12,N-E02,〇,98,-,12
2024-11-13,N-A05,✕,185,理解不足,28
2024-11-13,N-D02,〇,128,-,16
2024-11-13,N-B06,✕,138,ケアレス,18
2024-11-14,N-C02,〇,118,-,14
2024-11-14,N-A02,〇,98,-,10
2024-11-14,N-L-A02,〇,18,-,8
