日付,問題ID,正誤,解答時間(秒),ミスの原因,学習投入時間(分)
2025-11-22,L-C02,✕,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-20,L-C02,〇,60,知識不足,10
2025-11-24,L-C02,〇,60,知識不足,10
2025-11-19,N-C02,✕,60,時間不足,10
2025-11-30,N-C02,✕,60,時間不足,10
2025-11-30,N-C02,✕,60,時間不足,10
2025-11-28,L-C02,✕,60,時間不足,10
2025-11-28,L-C02,✕,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-22,L-C02,✕,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-20,L-C02,〇,60,知識不足,10
2025-11-24,L-C02,〇,60,知識不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-C02,〇,60,時間不足,10
2025-11-28,L-B02,〇,60,時間不足,10
2025-11-28,L-B02,〇,60,時間不足,10
2025-11-28,N-E01,✕,60,時間不足,10
