日付,問題ID,正誤,解答時間(秒),ミスの原因,学習投入時間(分)
2025-11-22,L-C02,✕,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-20,L-C02,〇,60,知識不足,10
2025-11-24,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,✕,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-22,L-C02,〇,60,知識不足,10
2025-11-20,L-C02,〇,60,知識不足,10
2025-11-24,L-C02,〇,60,知識不足,10
2025-12-09,L-C02,〇,60,-,10
2025-12-09,L-B01,〇,60,-,10
2025-12-09,L-B01,〇,60,-,10
2025-12-09,L-B02,〇,60,-,10
2025-12-09,N-E03,〇,60,ケアレス,50
2025-12-01,L-C02,〇,60,-,10
2025-12-09,L-C02,〇,60,-,10
2025-12-09,L-C01,〇,60,-,10
2025-12-02,L-C01,〇,60,ケアレス,10
2025-12-04,L-C02,✕,60,理解不足,50
2025-12-09,L-B03,〇,60,-,10
2025-12-09,L-B02,〇,60,-,10
2025-12-09,L-B01,✕,60,-,10
2025-11-29,L-B03,✕,60,知識不足,50
2025-12-02,L-B01,✕,60,ケアレス,10
2025-12-02,L-B01,✕,60,ケアレス,10
2025-12-09,L-C02,✕,60,-,10
2025-12-07,N-C01,〇,60,知識不足,50
2025-12-09,L-C01,✕,60,-,10
2025-12-02,N-D02,〇,60,ケアレス,10
2025-12-09,N-D01,✕,60,-,10
2025-11-16,L-B01,✕,60,理解不足,50
2025-12-09,N-D02,✕,60,-,10
2025-11-17,N-D02,✕,60,知識不足,50
2025-12-09,N-D03,✕,60,-,10
2025-12-02,N-D02,✕,60,知識不足,10
2025-12-09,N-A04,〇,60,-,10
2025-12-09,N-A03,〇,60,-,10
2025-11-17,L-C01,✕,60,理解不足,50
2025-12-09,N-A06,〇,60,-,10
2025-11-18,N-D02,✕,60,知識不足,10
2025-11-26,L-B02,〇,60,ケアレス,50
2025-12-09,N-A02,〇,60,-,10
2025-12-09,N-A01,〇,60,-,10
2025-11-18,N-D02,✕,60,知識不足,10
2025-12-09,N-A05,〇,60,-,10
2025-11-18,L-C02,✕,60,知識不足,10
2025-12-09,N-E04,〇,60,-,10
2025-12-09,N-E03,〇,60,-,10
2025-12-09,N-E01,〇,60,-,10
2025-11-27,N-A03,✕,60,理解不足,50
2025-12-09,N-E02,〇,60,-,10
2025-11-18,L-C02,〇,60,知識不足,10
2025-11-01,L-C01,✕,60,理解不足,50
2025-12-09,N-C02,〇,60,-,10
2025-12-09,N-C01,〇,60,-,10
2025-11-01,N-E03,〇,60,理解不足,50
2025-11-04,N-A01,✕,60,知識不足,50
2025-12-09,N-B05,〇,60,-,10
2025-11-05,L-B01,✕,60,知識不足,50
2025-12-09,N-B03,〇,60,-,10
2025-12-09,N-B04,〇,60,-,10
2025-12-09,N-B07,〇,60,-,10
2025-11-07,N-B02,✕,60,知識不足,50
2025-12-09,N-B01,〇,60,-,10
2025-12-09,N-B02,〇,60,-,10
2025-11-10,N-B05,✕,60,理解不足,50
2025-12-09,N-B06,〇,60,-,10
2025-11-12,L-C02,〇,60,知識不足,10
2025-11-13,L-C02,〇,60,知識不足,10
2025-11-10,N-B07,〇,60,-,50
2025-11-11,L-C02,〇,60,知識不足,10
2025-11-10,N-B04,〇,60,-,50
2025-12-09,L-B03,✕,60,-,10
2025-11-10,N-D01,✕,60,時間不足,50
2025-12-09,L-B02,✕,60,-,10
2025-11-10,N-D02,✕,60,理解不足,50
2025-12-09,L-B01,✕,60,-,10
2025-11-10,N-D03,〇,60,-,50
2025-11-10,N-C02,〇,60,-,50
2025-11-11,N-C01,〇,60,-,50
2025-12-09,L-C02,✕,60,-,10
2025-12-09,L-C01,✕,60,-,10
2025-11-11,L-A01,✕,60,ケアレス,50
2025-11-11,L-A02,〇,60,-,50
2025-11-12,L-A03,〇,60,-,50
2025-12-09,L-A01,✕,60,-,10
2025-12-09,L-A02,✕,60,-,10
2025-11-12,L-B03,✕,60,時間不足,50
2025-12-09,L-A03,✕,60,-,10
2025-11-12,L-C02,✕,60,時間不足,50
2025-11-22,N-A04,✕,60,理解不足,50
2025-12-09,N-D01,✕,60,-,10
